URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://moodledes.justicia.es:443/course/view.php?id=4824 ;PAQUETES DE INCORPORACION-CGF de Violencia sobre la Mujer-IB-PALMA-110;PAQUETES DE INCORPORACIONCGFVSMIBPALMA110;110;109
https://moodledes.justicia.es:443/course/view.php?id=4825 ;VISOR-CS Órganos Judiciales-EXPRES-103;VISORCSOOJJEXPRES103;103;100
